Sequence_Name,GenBank_Accn,Sequence_Length
Contig1660,PTTO01004288.1,105097
Contig1661,PTTO01002597.1,43418
Contig1662,PTTO01003290.1,36608
Contig1663,PTTO01002154.1,729900
Contig1664,PTTO01000347.1,111616
Contig1665,PTTO01000847.1,78741
Contig1666,PTTO01004191.1,11751
Contig1667,PTTO01004171.1,42225
Contig1668,PTTO01002362.1,24130
Contig1669,PTTO01002813.1,47200
Contig167,PTTO01002711.1,195643
Contig1670,PTTO01001481.1,51655
Contig1671,PTTO01001789.1,72278
Contig1672,PTTO01002755.1,30908
Contig1673,PTTO01002239.1,16498
Contig1674,PTTO01002914.1,29698
Contig1675,PTTO01004338.1,109506
Contig1676,PTTO01004132.1,54710
Contig1677,PTTO01002946.1,57879
Contig1678,PTTO01002233.1,2452159
Contig1679,PTTO01004256.1,1573
Contig168,PTTO01003147.1,1333543
Contig1680,PTTO01001105.1,17044
Contig1681,PTTO01000216.1,63124
Contig1682,PTTO01001825.1,36824
Contig1683,PTTO01001186.1,23024
Contig1684,PTTO01002877.1,41779
Contig1685,PTTO01003353.1,22656
Contig1686,PTTO01004091.1,60682
Contig1687,PTTO01004475.1,65330
Contig1688,PTTO01003943.1,15510
Contig1689,PTTO01000547.1,18610
Contig169,PTTO01003805.1,386041
Contig1690,PTTO01002109.1,28042
Contig1691,PTTO01001607.1,15789
Contig1692,PTTO01003161.1,7900
Contig1693,PTTO01002620.1,63590
Contig1694,PTTO01002468.1,5875
Contig1695,PTTO01003996.1,13711
Contig1696,PTTO01003478.1,56182
Contig1697,PTTO01000606.1,22334
Contig1698,PTTO01000412.1,36985
Contig1699,PTTO01002194.1,24510
Contig17,PTTO01001635.1,2158797
Contig170,PTTO01000571.1,7296379
Contig1700,PTTO01002359.1,11094
Contig1701,PTTO01002521.1,30350
Contig1702,PTTO01001929.1,45396
Contig1703,PTTO01001592.1,33396
Contig1704,PTTO01000930.1,78803
Contig1705,PTTO01001100.1,25341
Contig1706,PTTO01003986.1,2698
Contig1707,PTTO01003530.1,56543
Contig1708,PTTO01003012.1,76572
Contig1709,PTTO01003034.1,30412
Contig171,PTTO01004478.1,1082189
Contig1710,PTTO01003860.1,123433
Contig1711,PTTO01004520.1,136627
Contig1712,PTTO01000057.1,115195
Contig1713,PTTO01000656.1,7336
Contig1714,PTTO01001298.1,21271
Contig1715,PTTO01001913.1,67795
Contig1716,PTTO01001791.1,10653
Contig1717,PTTO01002238.1,22001
Contig1718,PTTO01002751.1,18595
Contig1719,PTTO01003320.1,16220
Contig172,PTTO01003890.1,109686
Contig1720,PTTO01000296.1,19677
Contig1721,PTTO01000923.1,4560
Contig1722,PTTO01002092.1,40783
Contig1723,PTTO01002303.1,15091
Contig1724,PTTO01002831.1,10178
Contig1725,PTTO01003908.1,9340
Contig1726,PTTO01000727.1,34931
Contig1727,PTTO01003696.1,215814
Contig1728,PTTO01004325.1,49390
Contig1729,PTTO01002633.1,18282
Contig173,PTTO01003473.1,69350
Contig1730,PTTO01001968.1,71200
Contig1731,PTTO01001525.1,5743
Contig1732,PTTO01003090.1,37943
Contig1733,PTTO01003120.1,25256
Contig1734,PTTO01004102.1,53836
Contig1735,PTTO01003560.1,34387
Contig1736,PTTO01002658.1,54934
Contig1737,PTTO01004315.1,29744
Contig1738,PTTO01003954.1,9421
Contig1739,PTTO01001030.1,14659
Contig174,PTTO01000640.1,3745072
Contig1740,PTTO01000300.1,47138
Contig1741,PTTO01000895.1,33207
Contig1742,PTTO01000660.1,16367
Contig1743,PTTO01002170.1,8294
Contig1744,PTTO01001897.1,67584
Contig1745,PTTO01002287.1,26198
Contig1746,PTTO01002033.1,229111
Contig1747,PTTO01002515.1,32386
Contig1748,PTTO01002456.1,3832
Contig1749,PTTO01002963.1,47839
Contig175,PTTO01000172.1,2698475
Contig1750,PTTO01001130.1,56674
Contig1751,PTTO01001578.1,19043
Contig1752,PTTO01002205.1,7701
Contig1753,PTTO01002548.1,45405
Contig1754,PTTO01003233.1,22779
Contig1755,PTTO01003570.1,30759
Contig1756,PTTO01002674.1,8906
Contig1757,PTTO01003329.1,37197
Contig1758,PTTO01003700.1,404
Contig1759,PTTO01000317.1,11056
Contig176,PTTO01001946.1,1672875
Contig1760,PTTO01002387.1,97534
Contig1761,PTTO01001947.1,3240858
Contig1762,PTTO01001170.1,57186
Contig1763,PTTO01000603.1,22896
Contig1764,PTTO01004491.1,24343
Contig1765,PTTO01003893.1,164543
Contig1766,PTTO01004476.1,54979
Contig1767,PTTO01003964.1,48420
Contig1768,PTTO01003162.1,6882
Contig1769,PTTO01002639.1,22683
Contig177,PTTO01001421.1,1248179
Contig1770,PTTO01000048.1,38507
Contig1771,PTTO01000652.1,30613
Contig1772,PTTO01003828.1,9308
Contig1773,PTTO01004542.1,35193
Contig1774,PTTO01002536.1,40465
Contig1775,PTTO01003229.1,11846
Contig1776,PTTO01002547.1,65072
Contig1777,PTTO01003199.1,10769
Contig1778,PTTO01000721.1,14654
Contig1779,PTTO01001367.1,32332
Contig178,PTTO01003261.1,93038
Contig1780,PTTO01001656.1,16264
Contig1781,PTTO01003316.1,51957
Contig1782,PTTO01001002.1,17172
Contig1783,PTTO01000515.1,42919
Contig1784,PTTO01003988.1,43279
Contig1785,PTTO01003504.1,33280
Contig1786,PTTO01004503.1,22813
Contig1787,PTTO01003842.1,36069
Contig1788,PTTO01003251.1,9845
Contig1789,PTTO01002563.1,50699
Contig179,PTTO01002770.1,47246
Contig1790,PTTO01001492.1,20634
Contig1791,PTTO01003387.1,38053
Contig1792,PTTO01001053.1,80904
Contig1793,PTTO01000418.1,53279
Contig1794,PTTO01003536.1,7517
Contig1795,PTTO01000764.1,32829
Contig1796,PTTO01004396.1,50406
Contig1797,PTTO01003732.1,42000
Contig1798,PTTO01003345.1,21255
Contig1799,PTTO01002650.1,30162
Contig18,PTTO01004189.1,35967168
Contig180,PTTO01002065.1,430377
Contig1800,PTTO01001447.1,32991
Contig1801,PTTO01001875.1,23155
Contig1802,PTTO01001046.1,80595
Contig1803,PTTO01000406.1,20142
Contig1804,PTTO01004114.1,14941
Contig1805,PTTO01004088.1,5624
Contig1806,PTTO01003636.1,61423
Contig1807,PTTO01002986.1,611198
Contig1808,PTTO01002040.1,26570
Contig1809,PTTO01004023.1,48653
Contig181,PTTO01002867.1,184947
Contig1810,PTTO01002604.1,43207
Contig1811,PTTO01001674.1,5511
Contig1812,PTTO01001183.1,57957
Contig1813,PTTO01000803.1,9755
Contig1814,PTTO01000081.1,8724
Contig1815,PTTO01001808.1,35452
Contig1816,PTTO01001171.1,24514
Contig1817,PTTO01001448.1,63117
Contig1818,PTTO01000245.1,55668
Contig1819,PTTO01000430.1,123630
Contig182,PTTO01003390.1,89231
Contig1820,PTTO01000229.1,5119
Contig1821,PTTO01000136.1,6566
Contig1822,PTTO01000772.1,193017
Contig1823,PTTO01004269.1,36457
Contig1824,PTTO01002555.1,13952
Contig1825,PTTO01001719.1,4119
Contig1826,PTTO01000086.1,29639
Contig1827,PTTO01003874.1,11057
Contig1828,PTTO01003438.1,162326
Contig1829,PTTO01004374.1,11808
Contig183,PTTO01003620.1,1902962
Contig1830,PTTO01001790.1,22703
Contig1831,PTTO01003421.1,154871
Contig1832,PTTO01004039.1,20698
Contig1833,PTTO01002380.1,29714
Contig1834,PTTO01002567.1,102405
Contig1835,PTTO01003123.1,75718
Contig1836,PTTO01001581.1,60563
Contig1837,PTTO01002226.1,192653
Contig1838,PTTO01000031.1,41229
Contig1839,PTTO01003980.1,14112
Contig184,PTTO01000783.1,1160845
Contig1840,PTTO01004539.1,114825
Contig1841,PTTO01003901.1,34068
Contig1842,PTTO01004461.1,23792
Contig1843,PTTO01002635.1,29618
Contig1844,PTTO01003164.1,2844
Contig1845,PTTO01001365.1,32974
Contig1846,PTTO01001762.1,7232
Contig1847,PTTO01000037.1,283682
Contig1848,PTTO01003951.1,39081
Contig1849,PTTO01003144.1,32949
Contig185,PTTO01000483.1,1906079
Contig1850,PTTO01002470.1,10143
Contig1851,PTTO01002093.1,63027
Contig1852,PTTO01001812.1,65345
Contig1853,PTTO01001001.1,69124
Contig1854,PTTO01000294.1,1456
Contig1855,PTTO01001679.1,19871
Contig1856,PTTO01001317.1,8985
Contig1857,PTTO01001564.1,841067
Contig1858,PTTO01000129.1,63752
Contig1859,PTTO01004301.1,11155
Contig186,PTTO01001962.1,144900
Contig1860,PTTO01002984.1,48519
Contig1861,PTTO01003313.1,25604
Contig1862,PTTO01004084.1,29427
Contig1863,PTTO01004267.1,13248
Contig1864,PTTO01000489.1,43137
Contig1865,PTTO01002200.1,5264
Contig1866,PTTO01002551.1,1726444
Contig1867,PTTO01002909.1,25016
Contig1868,PTTO01003858.1,14210
Contig1869,PTTO01004231.1,43900
Contig187,PTTO01002185.1,114239
Contig1870,PTTO01001179.1,7446
Contig1871,PTTO01000039.1,45821
Contig1872,PTTO01000781.1,8252
Contig1873,PTTO01003777.1,7273
Contig1874,PTTO01004277.1,32461
Contig1875,PTTO01001979.1,35871
Contig1876,PTTO01002767.1,36986
Contig1877,PTTO01000992.1,60818
Contig1878,PTTO01001792.1,51208
Contig1879,PTTO01001665.1,19806
Contig188,PTTO01001576.1,123722
Contig1880,PTTO01004434.1,26355
Contig1881,PTTO01000994.1,13781
Contig1882,PTTO01000334.1,8351
Contig1883,PTTO01002042.1,21461
Contig1884,PTTO01001810.1,32748
Contig1885,PTTO01002954.1,38635
Contig1886,PTTO01002272.1,89762
Contig1887,PTTO01004111.1,10879
Contig1888,PTTO01003879.1,51771
Contig1889,PTTO01003038.1,37211
Contig189,PTTO01003268.1,388140
Contig1890,PTTO01001644.1,36132
Contig1891,PTTO01002780.1,28642
Contig1892,PTTO01003304.1,68829
Contig1893,PTTO01003724.1,57047
Contig1894,PTTO01004223.1,19423
Contig1895,PTTO01002725.1,11971
Contig1896,PTTO01003338.1,6052
Contig1897,PTTO01004163.1,11710
Contig1898,PTTO01002645.1,34892
Contig1899,PTTO01000273.1,70576
Contig19,PTTO01003671.1,24480497
Contig190,PTTO01004059.1,119862
Contig1900,PTTO01003596.1,24505
Contig1901,PTTO01002947.1,86787
Contig1902,PTTO01002273.1,34650
Contig1903,PTTO01002156.1,110239
Contig1904,PTTO01001672.1,34282
Contig1905,PTTO01000775.1,42503
Contig1906,PTTO01000378.1,2637
Contig1907,PTTO01002643.1,108086
Contig1908,PTTO01004320.1,15606
Contig1909,PTTO01001139.1,7964
Contig191,PTTO01000441.1,1790887
Contig1910,PTTO01001248.1,142675
Contig1911,PTTO01003211.1,53598
Contig1912,PTTO01002232.1,37839
Contig1913,PTTO01004218.1,34492
Contig1914,PTTO01003705.1,14098
Contig1915,PTTO01001052.1,25739
Contig1916,PTTO01000634.1,29927
Contig1917,PTTO01002133.1,21691
Contig1918,PTTO01001889.1,10403
Contig1919,PTTO01001116.1,37549
Contig192,PTTO01001110.1,1025411
Contig1920,PTTO01000975.1,56360
Contig1921,PTTO01000476.1,35305
Contig1922,PTTO01002136.1,7817
Contig1923,PTTO01001493.1,49767
Contig1924,PTTO01003172.1,1682722
Contig1925,PTTO01002512.1,35774
Contig1926,PTTO01004021.1,31839
Contig1927,PTTO01003522.1,34098
Contig1928,PTTO01000539.1,69041
Contig1929,PTTO01000093.1,4136
Contig193,PTTO01000761.1,59808
Contig1930,PTTO01001997.1,28026
Contig1931,PTTO01002689.1,41680
Contig1932,PTTO01003093.1,33921
Contig1933,PTTO01003458.1,18422
Contig1934,PTTO01003467.1,83162
Contig1935,PTTO01004103.1,98490
Contig1936,PTTO01001056.1,28432
Contig1937,PTTO01001393.1,57415
Contig1938,PTTO01001638.1,6787
Contig1939,PTTO01002141.1,10131
Contig194,PTTO01001998.1,124545
Contig1940,PTTO01003718.1,8448
Contig1941,PTTO01000177.1,27630
Contig1942,PTTO01000786.1,16464
Contig1943,PTTO01001175.1,32049
Contig1944,PTTO01001209.1,9152
Contig1945,PTTO01001683.1,32113
Contig1946,PTTO01002742.1,72611
Contig1947,PTTO01003259.1,15181
Contig1948,PTTO01003312.1,12118
Contig1949,PTTO01003816.1,28624
Contig195,PTTO01002284.1,734794
Contig1950,PTTO01002405.1,29215
Contig1951,PTTO01004105.1,140773
Contig1952,PTTO01000862.1,59713
Contig1953,PTTO01000792.1,65354
Contig1954,PTTO01000937.1,27835
Contig1955,PTTO01000286.1,31674
Contig1956,PTTO01002210.1,12993
Contig1957,PTTO01001572.1,7777
Contig1958,PTTO01002973.1,81976
Contig1959,PTTO01002318.1,19635
Contig196,PTTO01003821.1,60543
Contig1960,PTTO01004300.1,28261
Contig1961,PTTO01003812.1,17398
Contig1962,PTTO01000689.1,28393
Contig1963,PTTO01000206.1,28649
Contig1964,PTTO01001187.1,34014
Contig1965,PTTO01003001.1,21653
Contig1966,PTTO01003346.1,20253
Contig1967,PTTO01003981.1,1725413
Contig1968,PTTO01000388.1,8105
Contig1969,PTTO01001340.1,13375
Contig197,PTTO01003582.1,114042
Contig1970,PTTO01004500.1,48946
Contig1971,PTTO01003413.1,25626
Contig1972,PTTO01000613.1,34941
Contig1973,PTTO01000133.1,32346
Contig1974,PTTO01002022.1,109585
Contig1975,PTTO01003139.1,41558
Contig1976,PTTO01002588.1,30713
Contig1977,PTTO01004452.1,16563
Contig1978,PTTO01002374.1,20660
Contig1979,PTTO01004096.1,60861
Contig198,PTTO01004259.1,182781
Contig1980,PTTO01002440.1,95468
Contig1981,PTTO01002519.1,88724
Contig1982,PTTO01003030.1,34783
Contig1983,PTTO01001212.1,23737
Contig1984,PTTO01003098.1,3249
Contig1985,PTTO01003445.1,9183
Contig1986,PTTO01004099.1,48879
Contig1987,PTTO01000492.1,32608
Contig1988,PTTO01001080.1,21075
Contig1989,PTTO01001489.1,31588
Contig199,PTTO01000497.1,127813
Contig1990,PTTO01002646.1,7561
Contig1991,PTTO01003124.1,22823
Contig1992,PTTO01003941.1,45653
Contig1993,PTTO01004484.1,30511
Contig1994,PTTO01004228.1,30393
Contig1995,PTTO01000132.1,120152
Contig1996,PTTO01000384.1,38576
Contig1997,PTTO01000846.1,27042
Contig1998,PTTO01002186.1,70265
Contig1999,PTTO01002642.1,49916
Contig2,PTTO01002057.1,50984152
Contig20,PTTO01000705.1,6155619
Contig200,PTTO01002264.1,2488353
Contig2000,PTTO01002419.1,10511
Contig2001,PTTO01002080.1,51101
Contig2002,PTTO01003921.1,74316
Contig2003,PTTO01003271.1,34803
Contig2004,PTTO01001138.1,8949
Contig2005,PTTO01000758.1,29143
Contig2006,PTTO01002371.1,37599
Contig2007,PTTO01001894.1,40720
Contig2008,PTTO01003188.1,20914
Contig2009,PTTO01002610.1,6998
Contig201,PTTO01004168.1,76357
Contig2010,PTTO01003506.1,19154
Contig2011,PTTO01002987.1,19256
Contig2012,PTTO01001015.1,18106
Contig2013,PTTO01000535.1,19688
Contig2014,PTTO01002397.1,36115
Contig2015,PTTO01001892.1,49236
Contig2016,PTTO01003788.1,4623475
Contig2017,PTTO01003200.1,37757
Contig2018,PTTO01000455.1,91725
Contig2019,PTTO01004541.1,42388
Contig202,PTTO01003574.1,103088
Contig2020,PTTO01000385.1,11443
Contig2021,PTTO01000860.1,3962
Contig2022,PTTO01001640.1,69351
Contig2023,PTTO01002139.1,7235
Contig2024,PTTO01002334.1,38464
Contig2025,PTTO01002849.1,57175
Contig2026,PTTO01003662.1,6787
Contig2027,PTTO01004177.1,104102
Contig2028,PTTO01001288.1,4750
Contig2029,PTTO01001926.1,42014
Contig203,PTTO01000881.1,123836
Contig2030,PTTO01000953.1,48303
Contig2031,PTTO01001539.1,38065
Contig2032,PTTO01004565.1,37102
Contig2033,PTTO01004015.1,28931
Contig2034,PTTO01002344.1,12878
Contig2035,PTTO01003021.1,39071
Contig2036,PTTO01001352.1,69445
Contig2037,PTTO01003151.1,34200
Contig2038,PTTO01000685.1,42415
Contig2039,PTTO01000205.1,16316
Contig204,PTTO01000490.1,41964
Contig2040,PTTO01003308.1,40489
Contig2041,PTTO01002754.1,65753
Contig2042,PTTO01001777.1,29599
Contig2043,PTTO01001617.1,52960
Contig2044,PTTO01003969.1,52785
Contig2045,PTTO01003492.1,25243
Contig2046,PTTO01003023.1,23477
Contig2047,PTTO01002489.1,42642
Contig2048,PTTO01001463.1,9417
Contig2049,PTTO01003245.1,81416
Contig205,PTTO01002131.1,175286
Contig2050,PTTO01000521.1,81296
Contig2051,PTTO01000915.1,115213
Contig2052,PTTO01001243.1,16921
Contig2053,PTTO01002165.1,29397
Contig2054,PTTO01004167.1,35703
Contig2055,PTTO01002442.1,5835
Contig2056,PTTO01000321.1,45843
Contig2057,PTTO01000954.1,48913
Contig2058,PTTO01002223.1,47964
Contig2059,PTTO01000281.1,50266
Contig206,PTTO01001741.1,47437
Contig2060,PTTO01003502.1,52933
Contig2061,PTTO01000557.1,16404
Contig2062,PTTO01000307.1,32156
Contig2063,PTTO01002121.1,38313
Contig2064,PTTO01001970.1,31342
Contig2065,PTTO01003013.1,57939
Contig2066,PTTO01002479.1,10490
Contig2067,PTTO01004009.1,44996
Contig2068,PTTO01000998.1,14141
Contig2069,PTTO01000480.1,43357
Contig207,PTTO01000166.1,7706932
Contig2070,PTTO01003822.1,95407
Contig2071,PTTO01004332.1,15219
Contig2072,PTTO01000251.1,15387
Contig2073,PTTO01000148.1,105115
Contig2074,PTTO01001261.1,39333
Contig2075,PTTO01001900.1,37508
Contig2076,PTTO01002557.1,26412
Contig2077,PTTO01003231.1,25080
Contig2078,PTTO01003564.1,28290
Contig2079,PTTO01000632.1,56107
Contig208,PTTO01001839.1,20458955
Contig2080,PTTO01002474.1,11249
Contig2081,PTTO01002007.1,45995
Contig2082,PTTO01003836.1,4070
Contig2083,PTTO01003326.1,54421
Contig2084,PTTO01000926.1,7935
Contig2085,PTTO01001566.1,58625
Contig2086,PTTO01002152.1,38837
Contig2087,PTTO01002789.1,33388
Contig2088,PTTO01002781.1,17844
Contig2089,PTTO01003292.1,51801
Contig209,PTTO01001652.1,3806874
Contig2090,PTTO01003552.1,55386
Contig2091,PTTO01003047.1,46581
Contig2092,PTTO01002005.1,49292
Contig2093,PTTO01001477.1,44192
Contig2094,PTTO01000664.1,38097
Contig2095,PTTO01000520.1,31432
Contig2096,PTTO01003999.1,33852
Contig2097,PTTO01003509.1,32519
Contig2098,PTTO01002974.1,44001
Contig2099,PTTO01002461.1,21562
Contig21,PTTO01000098.1,5648289
Contig210,PTTO01000486.1,229558
Contig2100,PTTO01002072.1,51893
Contig2101,PTTO01002542.1,29507
Contig2102,PTTO01001361.1,10170
Contig2103,PTTO01001866.1,54882
Contig2104,PTTO01000157.1,34253
Contig2105,PTTO01000751.1,37161
Contig2106,PTTO01003956.1,14426
Contig2107,PTTO01004318.1,20460
Contig2108,PTTO01002927.1,5576
Contig2109,PTTO01003443.1,47014
Contig211,PTTO01002084.1,132875
Contig2110,PTTO01001444.1,14035
Contig2111,PTTO01002107.1,18579
Contig2112,PTTO01000419.1,31861
Contig2113,PTTO01001069.1,12757
Contig2114,PTTO01002607.1,65870
Contig2115,PTTO01003148.1,20510
Contig2116,PTTO01003897.1,46098
Contig2117,PTTO01004423.1,113666
Contig2118,PTTO01000104.1,30346
Contig2119,PTTO01000573.1,23021
Contig212,PTTO01001473.1,22396
Contig2120,PTTO01004154.1,33553
Contig2121,PTTO01002300.1,51540
Contig2122,PTTO01002808.1,12536
Contig2123,PTTO01001655.1,39158
Contig2124,PTTO01002144.1,33052
Contig2125,PTTO01000208.1,44259
Contig2126,PTTO01000789.1,7743
Contig2127,PTTO01001291.1,35069
Contig2128,PTTO01004040.1,30866
Contig2129,PTTO01000027.1,27600
Contig213,PTTO01002981.1,31251
Contig2130,PTTO01003949.1,6366
Contig2131,PTTO01000138.1,41373
Contig2132,PTTO01004047.1,39507
Contig2133,PTTO01001274.1,16146
Contig2134,PTTO01000857.1,38332
Contig2135,PTTO01002605.1,41489
Contig2136,PTTO01002116.1,42899
Contig2137,PTTO01003942.1,6111
Contig2138,PTTO01002289.1,55245
Contig2139,PTTO01004081.1,47808
Contig214,PTTO01002451.1,115837
Contig2140,PTTO01002763.1,41923
Contig2141,PTTO01003553.1,69871
Contig2142,PTTO01002911.1,21869
Contig2143,PTTO01000876.1,16526
Contig2144,PTTO01004226.1,46930
Contig2145,PTTO01001618.1,82016
Contig2146,PTTO01000546.1,51562
Contig2147,PTTO01002626.1,24352
Contig2148,PTTO01002140.1,4327
Contig2149,PTTO01002968.1,27621
Contig215,PTTO01003987.1,134184
Contig2150,PTTO01002923.1,8136
Contig2151,PTTO01001561.1,31866
Contig2152,PTTO01002280.1,11794
Contig2153,PTTO01000272.1,10449
Contig2154,PTTO01000907.1,21433
Contig2155,PTTO01004261.1,100218
Contig2156,PTTO01000305.1,49661
Contig2157,PTTO01002897.1,4974
Contig2158,PTTO01003586.1,54215
Contig2159,PTTO01002234.1,36510
Contig216,PTTO01004494.1,251944
Contig2160,PTTO01004229.1,16326
Contig2161,PTTO01003020.1,87529
Contig2162,PTTO01002882.1,23532
Contig2163,PTTO01002654.1,10064
Contig2164,PTTO01002199.1,42008
Contig2165,PTTO01002227.1,29932
Contig2166,PTTO01001453.1,86771
Contig2167,PTTO01000962.1,39366
Contig2168,PTTO01004127.1,39461
Contig2169,PTTO01004197.1,35495
Contig217,PTTO01003710.1,19526906
Contig2170,PTTO01001081.1,29175
Contig2171,PTTO01002242.1,46258
Contig2172,PTTO01001761.1,16754
Contig2173,PTTO01002055.1,72137
Contig2174,PTTO01002394.1,41610
Contig2175,PTTO01003089.1,159253
Contig2176,PTTO01003432.1,33373
Contig2177,PTTO01003400.1,2157
Contig2178,PTTO01004106.1,54071
Contig2179,PTTO01001043.1,33622
Contig218,PTTO01001047.1,146994
Contig2180,PTTO01003134.1,9838
Contig2181,PTTO01003957.1,30439
Contig2182,PTTO01004463.1,121245
Contig2183,PTTO01003043.1,60115
Contig2184,PTTO01003136.1,13205
Contig2185,PTTO01003829.1,43677
Contig2186,PTTO01004525.1,79117
Contig2187,PTTO01001063.1,31022
Contig2188,PTTO01001122.1,36706
Contig2189,PTTO01001863.1,15583
Contig219,PTTO01000408.1,1900693
Contig2190,PTTO01002743.1,10768
Contig2191,PTTO01002482.1,28569
Contig2192,PTTO01001781.1,15230
Contig2193,PTTO01000695.1,53095
Contig2194,PTTO01000199.1,27075
Contig2195,PTTO01004314.1,31757
Contig2196,PTTO01003802.1,22587
Contig2197,PTTO01000736.1,6332
Contig2198,PTTO01000234.1,42437
Contig2199,PTTO01004284.1,99376
Contig22,PTTO01002545.1,33088449
Contig220,PTTO01004148.1,2609273
Contig2200,PTTO01002157.1,16620
Contig2201,PTTO01000383.1,12392
Contig2202,PTTO01003314.1,117693
Contig2203,PTTO01002804.1,11278
Contig2204,PTTO01004482.1,14883
Contig2205,PTTO01003783.1,45679
Contig2206,PTTO01000817.1,28698
Contig2207,PTTO01000204.1,35378
Contig2208,PTTO01001796.1,39248
Contig2209,PTTO01001157.1,19880
Contig221,PTTO01003294.1,259723
Contig2210,PTTO01004094.1,100519
Contig2211,PTTO01003850.1,15137
Contig2212,PTTO01000278.1,46407
Contig2213,PTTO01001806.1,15130
Contig2214,PTTO01001149.1,20778
Contig2215,PTTO01003102.1,57752
Contig2216,PTTO01004251.1,65079
Contig2217,PTTO01003583.1,9497
Contig2218,PTTO01003793.1,8818
Contig2219,PTTO01001070.1,57504
Contig222,PTTO01001554.1,57008
Contig2220,PTTO01003895.1,10307
Contig2221,PTTO01004428.1,12463
Contig2222,PTTO01001083.1,32403
Contig2223,PTTO01000576.1,38874
Contig2224,PTTO01001198.1,21842
Contig2225,PTTO01001821.1,56210
Contig2226,PTTO01002426.1,38453
Contig2227,PTTO01002938.1,54067
Contig2228,PTTO01003396.1,36190
Contig2229,PTTO01000474.1,38107
Contig223,PTTO01001569.1,5731
Contig2230,PTTO01002044.1,20890
Contig2231,PTTO01001064.1,52833
Contig2232,PTTO01003727.1,70633
Contig2233,PTTO01004007.1,121999
Contig2234,PTTO01002686.1,14315
Contig2235,PTTO01001339.1,22126
Contig2236,PTTO01001782.1,16422
Contig2237,PTTO01002032.1,25855
Contig2238,PTTO01000696.1,36953
Contig2239,PTTO01003691.1,69278
Contig224,PTTO01001974.1,621295
Contig2240,PTTO01000672.1,22748
Contig2241,PTTO01003953.1,14233
Contig2242,PTTO01004514.1,23262
Contig2243,PTTO01002550.1,19821
Contig2244,PTTO01003230.1,25554
Contig2245,PTTO01001899.1,1079701
Contig2246,PTTO01000142.1,11995
Contig2247,PTTO01001026.1,40897
Contig2248,PTTO01003516.1,26247
Contig2249,PTTO01004378.1,21857
Contig225,PTTO01000394.1,863466
Contig2250,PTTO01004523.1,36211
Contig2251,PTTO01002964.1,6435
Contig2252,PTTO01002454.1,42048
Contig2253,PTTO01002001.1,17325
Contig2254,PTTO01001498.1,42424
Contig2255,PTTO01000080.1,15145
Contig2256,PTTO01003960.1,19606
Contig2257,PTTO01003499.1,24228
Contig2258,PTTO01002993.1,45517
Contig2259,PTTO01002509.1,50616
Contig226,PTTO01000713.1,70000
Contig2260,PTTO01000993.1,40705
Contig2261,PTTO01000473.1,31631
Contig2262,PTTO01003972.1,36098
Contig2263,PTTO01003628.1,21836
Contig2264,PTTO01002996.1,34310
Contig2265,PTTO01003235.1,32845
Contig2266,PTTO01002599.1,25189
Contig2267,PTTO01002212.1,35132
Contig2268,PTTO01001177.1,39053
Contig2269,PTTO01000662.1,50083
Contig227,PTTO01004032.1,251142
Contig2270,PTTO01004133.1,223665
Contig2271,PTTO01003475.1,23753
Contig2272,PTTO01000503.1,121462
Contig2273,PTTO01004321.1,10467
Contig2274,PTTO01001201.1,75507
Contig2275,PTTO01000976.1,44788
Contig2276,PTTO01000884.1,146193
Contig2277,PTTO01000679.1,112890
Contig2278,PTTO01002163.1,46411
Contig2279,PTTO01001604.1,92215
Contig228,PTTO01002340.1,150440
Contig2280,PTTO01002817.1,110861
Contig2281,PTTO01002153.1,16952
Contig2282,PTTO01003632.1,37076
Contig2283,PTTO01004123.1,44004
Contig2284,PTTO01000370.1,2548
Contig2285,PTTO01000832.1,34873
Contig2286,PTTO01002151.1,5755
Contig2287,PTTO01000355.1,41521
Contig2288,PTTO01002237.1,15063
Contig2289,PTTO01001601.1,25674
Contig229,PTTO01001558.1,40716
Contig2290,PTTO01002029.1,20017
Contig2291,PTTO01000422.1,77090
Contig2292,PTTO01002235.1,60497
Contig2293,PTTO01002864.1,56486
Contig2294,PTTO01003565.1,72345
Contig2295,PTTO01004208.1,45355
Contig2296,PTTO01000746.1,31252
Contig2297,PTTO01000842.1,35323
Contig2298,PTTO01001471.1,50822
Contig2299,PTTO01002164.1,134337
Contig23,PTTO01001349.1,32423409
Contig230,PTTO01003454.1,4921120
Contig2300,PTTO01000750.1,52770
Contig2301,PTTO01002581.1,9498
Contig2302,PTTO01003122.1,95548
Contig2303,PTTO01002885.1,22176
Contig2304,PTTO01003823.1,13286
Contig2305,PTTO01000414.1,32187
Contig2306,PTTO01001060.1,16283
Contig2307,PTTO01001472.1,43100
Contig2308,PTTO01001255.1,17011
Contig2309,PTTO01000405.1,37302
Contig231,PTTO01004002.1,35363
Contig2310,PTTO01002345.1,20242
Contig2311,PTTO01003519.1,28958
Contig2312,PTTO01002997.1,21681
Contig2313,PTTO01000246.1,20448
Contig2314,PTTO01000283.1,15967
Contig2315,PTTO01003903.1,19264
Contig2316,PTTO01000069.1,7420
Contig2317,PTTO01000543.1,5585
Contig2318,PTTO01001330.1,33891
Contig2319,PTTO01001295.1,31328
Contig232,PTTO01002445.1,9669
Contig2320,PTTO01000887.1,81621
Contig2321,PTTO01004294.1,4126
Contig2322,PTTO01003927.1,47016
