discrep_type,seqtype,seqname,placetype,query_start,query_stop,query_length,gap_length,number_masked,number_het,number_chrY,target_name,target_seq_id,target_start,target_stop
SP Only,scaffold,Contig794,unplaced,1654,3249,1518,0,139,0,0,3,ref|NC_041730.1|,120390061,120391641
SP Only,scaffold,Contig933,unplaced,2836,6482,3629,0,805,0,0,3,ref|NC_041730.1|,39774025,39777676
SP,scaffold,Contig940,unplaced,2944,10291,7348,0,721,0,0,3,ref|NC_041730.1|,51513336,51520710
SP Only,scaffold,Contig1113,unplaced,1,10010,10007,0,6306,0,0,4,ref|NC_041731.1|,21154658,21164717
SP Only,scaffold,Contig1277,unplaced,21,21844,21809,0,15161,0,0,4,ref|NC_041731.1|,24558829,24580930
SP Only,scaffold,Contig1339,unplaced,1,9797,9787,0,4432,0,0,4,ref|NC_041731.1|,105179642,105189553
SP Only,scaffold,Contig1415,unplaced,1,1188,1188,0,669,0,0,4,ref|NC_041731.1|,21154657,21155848
SP Only,scaffold,Contig1485,unplaced,593,6321,5418,0,5597,0,0,4,ref|NC_041731.1|,24717068,24722647
SP Only,scaffold,Contig1504,unplaced,11833,12944,1064,0,176,0,0,4,ref|NC_041731.1|,20051205,20052282
SP Only,scaffold,Contig1544,unplaced,1,41929,41871,0,20862,0,0,4,ref|NC_041731.1|,114898743,114940844
SP Only,scaffold,Contig1555,unplaced,1777,5437,3660,0,2092,0,0,4,ref|NC_041731.1|,24587879,24591568
SP Only,scaffold,Contig1603,unplaced,1242,2302,1007,0,181,0,0,4,ref|NC_041731.1|,20051326,20052338
SP Only,scaffold,Contig1683,unplaced,1,16828,16811,0,12290,0,0,4,ref|NC_041731.1|,24558828,24575725
SP Only,scaffold,Contig1777,unplaced,1,9612,9592,0,4513,0,0,4,ref|NC_041731.1|,24622809,24632458
SP Only,scaffold,Contig1820,unplaced,1543,2708,1116,0,189,0,0,4,ref|NC_041731.1|,20051205,20052334
SP Only,scaffold,Contig192,unplaced,5,3533,3482,0,2027,0,0,4,ref|NC_041731.1|,19118818,19122370
SP Only,scaffold,Contig2037,unplaced,19875,29483,9525,0,8030,0,0,4,ref|NC_041731.1|,19587712,19597285
SP Only,scaffold,Contig2041,unplaced,1,30585,30572,0,18291,0,0,4,ref|NC_041731.1|,51304165,51334763
SP Only,scaffold,Contig2376,unplaced,1,16321,16317,0,8098,0,0,4,ref|NC_041731.1|,17440302,17456646
SP Only,scaffold,Contig2456,unplaced,7940,12257,4271,0,3387,0,0,4,ref|NC_041731.1|,19588198,19592488
SP Only,scaffold,Contig2479,unplaced,1,1914,1910,0,1073,0,0,4,ref|NC_041731.1|,101247135,101249056
SP Only,scaffold,Contig2540,unplaced,18630,28238,9525,0,8030,0,0,4,ref|NC_041731.1|,19587712,19597285
Inv,scaffold,Contig2553,unplaced,1,15474,15454,0,8257,0,0,4,ref|NC_041731.1|,39595547,39611019
SP Only,scaffold,Contig2567,unplaced,1,26647,26629,0,10810,0,0,4,ref|NC_041731.1|,8412394,8439167
SP Only,scaffold,Contig2634,unplaced,7958,9071,1064,0,189,0,0,4,ref|NC_041731.1|,20051205,20052282
SP Only,scaffold,Contig2748,unplaced,2115,12012,9332,0,9563,0,0,4,ref|NC_041731.1|,24712733,24722635
SP Only,scaffold,Contig2859,unplaced,1,8453,8439,0,6622,0,0,4,ref|NC_041731.1|,135518357,135526823
SP Only,scaffold,Contig2924,unplaced,1,26633,26601,0,17798,0,0,4,ref|NC_041731.1|,24561591,24588342
SP Only,scaffold,Contig3100,unplaced,1,23103,23044,0,8782,0,0,4,ref|NC_041731.1|,24609316,24632486
SP Only,scaffold,Contig3139,unplaced,96,9039,8683,0,8323,0,0,4,ref|NC_041731.1|,24714405,24723530
SP Only,scaffold,Contig3221,unplaced,9166,10943,1750,0,1443,0,0,4,ref|NC_041731.1|,19585629,19587383
SP Only,scaffold,Contig3246,unplaced,158,8105,7856,0,4037,0,0,4,ref|NC_041731.1|,24597339,24605336
SP,scaffold,Contig3311,unplaced,223286,224869,1514,0,1193,0,0,4,ref|NC_041731.1|,51526998,51528524
SP Only,scaffold,Contig3357,unplaced,10681,11774,1092,0,972,0,0,4,ref|NC_041731.1|,24721541,24722635
SP Only,scaffold,Contig3422,unplaced,2157,7668,5357,0,5343,0,0,4,ref|NC_041731.1|,24716962,24722635
SP Only,scaffold,Contig3480,unplaced,966,13426,11774,0,11915,0,0,4,ref|NC_041731.1|,24710392,24722647
Inv,scaffold,Contig364,unplaced,1,10711751,10635362,100,5732721,0,0,4,ref|NC_041731.1|,75373602,86044792
SP Only,scaffold,Contig3640,unplaced,1,8667,8651,0,3713,0,0,4,ref|NC_041731.1|,51295502,51304164
SP Only,scaffold,Contig3712,unplaced,1,4945,4943,0,2432,0,0,4,ref|NC_041731.1|,21130565,21135523
SP Only,scaffold,Contig3749,unplaced,64218,89303,25060,0,17339,0,0,4,ref|NC_041731.1|,127523736,127548876
SP Only,scaffold,Contig3755,unplaced,16533,28392,11371,0,11270,0,0,4,ref|NC_041731.1|,24710647,24722647
SP Only,scaffold,Contig3856,unplaced,1,32094,32034,0,15961,0,0,4,ref|NC_041731.1|,17410689,17442973
SP Only,scaffold,Contig3868,unplaced,1,22439,22417,0,9920,0,0,4,ref|NC_041731.1|,2354549,2376990
SP Only,scaffold,Contig3898,unplaced,1,28031,27953,0,10014,0,0,4,ref|NC_041731.1|,24609316,24637555
SP Only,scaffold,Contig3945,unplaced,1,31382,31214,0,14246,0,0,4,ref|NC_041731.1|,24597688,24629146
SP Only,scaffold,Contig399,unplaced,38690,40677,1942,0,1859,0,0,4,ref|NC_041731.1|,24720667,24722635
SP Only,scaffold,Contig4061,unplaced,1,4482,4479,0,1063,0,0,4,ref|NC_041731.1|,24635823,24640326
SP Only,scaffold,Contig4168,unplaced,9123,11206,2077,0,1759,0,0,4,ref|NC_041731.1|,19585629,19587711
SP Only,scaffold,Contig4323,unplaced,1,20967,20923,0,12935,0,0,4,ref|NC_041731.1|,51739432,51760485
SP Only,scaffold,Contig4389,unplaced,19219,22505,3142,0,3190,0,0,4,ref|NC_041731.1|,24718580,24721888
SP Only,scaffold,Contig4449,unplaced,23,5934,5653,0,5696,0,0,4,ref|NC_041731.1|,24709242,24715355
SP Only,scaffold,Contig4470,unplaced,1,27563,27520,0,18499,0,0,4,ref|NC_041731.1|,24561591,24589309
SP Only,scaffold,Contig4492,unplaced,1,4776,4770,0,3327,0,0,4,ref|NC_041731.1|,103981157,103985956
Inv,scaffold,Contig4505,unplaced,16,2181,2164,0,1595,0,0,4,ref|NC_041731.1|,24556642,24558813
SP Only,scaffold,Contig4514,unplaced,687,38636,37935,0,12379,0,0,4,ref|NC_041731.1|,36272359,36310442
SP Only,scaffold,Contig454,unplaced,3,2752,2709,0,2596,0,0,4,ref|NC_041731.1|,24719858,24722635
SP Only,scaffold,Contig4543,unplaced,1,12743,12697,0,7098,0,0,4,ref|NC_041731.1|,20736998,20750029
SP Only,scaffold,Contig518,unplaced,18098,27744,9562,0,8028,0,0,4,ref|NC_041731.1|,19587712,19597285
SP Only,scaffold,Contig52,unplaced,1,13946,13932,0,10591,0,0,4,ref|NC_041731.1|,126762376,126776324
SP Only,scaffold,Contig618,unplaced,2,29039,29013,0,13850,0,0,4,ref|NC_041731.1|,33707459,33736527
Inv,scaffold,Contig70,unplaced,6691736,6694339,2604,0,1260,0,0,4,ref|NC_041731.1|,6726723,6729334
SP Only,scaffold,Contig730,unplaced,1,13498,13464,0,6036,0,0,4,ref|NC_041731.1|,18748456,18761988
SP Only,scaffold,Contig827,unplaced,1,1065,1056,0,602,0,0,4,ref|NC_041731.1|,25565900,25566973
SP Only,scaffold,Contig892,unplaced,1,6061,6054,0,2864,0,0,4,ref|NC_041731.1|,19579529,19585628
SP Only,scaffold,Contig914,unplaced,23708,24902,1130,0,188,0,0,4,ref|NC_041731.1|,20051205,20052359
SP Only,scaffold,Contig100,unplaced,1,7373,7370,0,4653,0,0,5,ref|NC_041732.1|,38661855,38669264
Inv,scaffold,Contig102,unplaced,1,6523541,6481399,100,3852332,0,0,5,ref|NC_041732.1|,93869953,100378779
SP Only,scaffold,Contig1099,unplaced,2000343,2032593,32225,0,13173,0,0,5,ref|NC_041732.1|,40679695,40711941
SP Only,scaffold,Contig1122,unplaced,1,7408,7401,0,4769,0,0,5,ref|NC_041732.1|,38661855,38669264
SP Only,scaffold,Contig1139,unplaced,1,3921,3921,0,2275,0,0,5,ref|NC_041732.1|,22294105,22298033
Inv,scaffold,Contig115,unplaced,1,1753482,1705386,100,955661,0,0,5,ref|NC_041732.1|,84404828,86113737
SP Only,scaffold,Contig1190,unplaced,1,17347,17318,0,6003,0,0,5,ref|NC_041732.1|,50095819,50113211
SP Only,scaffold,Contig1260,unplaced,1,7355,7307,0,3146,0,0,5,ref|NC_041732.1|,14097422,14104754
SP Only,scaffold,Contig1297,unplaced,6343,12071,5655,0,2969,0,0,5,ref|NC_041732.1|,38679290,38685045
Inv,scaffold,Contig1428,unplaced,1,55264,55219,0,40008,0,0,5,ref|NC_041732.1|,100378781,100434066
SP Only,scaffold,Contig1587,unplaced,1,22397,22357,0,13439,0,0,5,ref|NC_041732.1|,80409754,80432302
SP Only,scaffold,Contig16,unplaced,1,4677,4668,0,2373,0,0,5,ref|NC_041732.1|,40674001,40678707
Inv,scaffold,Contig1691,unplaced,1771,1780,10,0,10,0,0,5,ref|NC_041732.1|,18913727,18913736
Inv,scaffold,Contig176,unplaced,1,1672873,1631893,100,1259383,0,0,5,ref|NC_041732.1|,103234144,104888228
SP Only,scaffold,Contig1767,unplaced,1,5921,5903,0,2497,0,0,5,ref|NC_041732.1|,1730175,1736129
SP,scaffold,Contig1841,unplaced,1,4807,4801,0,1255,0,0,5,ref|NC_041732.1|,14122725,14127542
Inv,scaffold,Contig1942,unplaced,2058,2306,243,0,52,0,0,5,ref|NC_041732.1|,18882580,18882827
SP Only,scaffold,Contig1991,unplaced,648,15448,14792,0,5649,0,0,5,ref|NC_041732.1|,98469502,98484329
Inv,scaffold,Contig2396,unplaced,1,2584,2583,0,1346,0,0,5,ref|NC_041732.1|,18853327,18855936
SP Only,scaffold,Contig25,unplaced,1,6550,6494,0,2819,0,0,5,ref|NC_041732.1|,14097422,14103926
SP Only,scaffold,Contig2856,unplaced,1,31807,31708,0,18295,0,0,5,ref|NC_041732.1|,68441290,68473274
SP Only,scaffold,Contig2880,unplaced,1,10798,10782,0,5777,0,0,5,ref|NC_041732.1|,79344984,79355989
SP Only,scaffold,Contig3274,unplaced,1,1589,1575,0,326,0,0,5,ref|NC_041732.1|,38669265,38670844
SP Only,scaffold,Contig3381,unplaced,1,3670,3645,0,2536,0,0,5,ref|NC_041732.1|,18588559,18592272
Inv,scaffold,Contig346,unplaced,1,2777939,2761102,0,1943466,0,0,5,ref|NC_041732.1|,100434067,103202531
Inv,scaffold,Contig3648,unplaced,1,18199,18189,0,12688,0,0,5,ref|NC_041732.1|,93851720,93869952
Inv,scaffold,Contig3869,unplaced,1,54612,54583,0,35417,0,0,5,ref|NC_041732.1|,107607847,107662484
Inv,scaffold,Contig42,unplaced,1,1024689,1000660,200,510182,0,0,5,ref|NC_041732.1|,952153,1955821
SP Only,scaffold,Contig4279,unplaced,1,10169,10120,0,4136,0,0,5,ref|NC_041732.1|,14117484,14127617
SP Only,scaffold,Contig462,unplaced,1,40364,40194,0,26811,0,0,5,ref|NC_041732.1|,104198165,104238947
SP Only,scaffold,Contig622,unplaced,1,8896,8890,0,5542,0,0,5,ref|NC_041732.1|,38660219,38669263
SP Only,scaffold,Contig99,unplaced,1,1453,1437,0,329,0,0,5,ref|NC_041732.1|,38671968,38673440
Inv,scaffold,Contig101,unplaced,1,172252,163296,100,99581,0,0,6,ref|NC_041733.1|,47066445,47230274
SP Only,scaffold,Contig1124,unplaced,22752,25393,2501,0,1580,0,0,6,ref|NC_041733.1|,44936465,44939096
Inv,scaffold,Contig120,unplaced,1,35041,34971,0,20370,0,0,6,ref|NC_041733.1|,46739037,46774273
SP Only,scaffold,Contig1418,unplaced,31297,32735,1416,0,1130,0,0,6,ref|NC_041733.1|,44956234,44957685
SP Only,scaffold,Contig1543,unplaced,20198,21522,1317,0,931,0,0,6,ref|NC_041733.1|,44952953,44954274
SP Only,scaffold,Contig1756,unplaced,2,2265,2233,0,378,0,0,6,ref|NC_041733.1|,41096358,41098693
SP Only,scaffold,Contig182,unplaced,10535,12106,1518,0,1024,0,0,6,ref|NC_041733.1|,44952882,44954415
Inv,scaffold,Contig1826,unplaced,4026,4035,9,0,10,0,0,6,ref|NC_041733.1|,44981212,44981220
SP Only,scaffold,Contig1913,unplaced,15749,16935,1158,0,783,0,0,6,ref|NC_041733.1|,44953119,44954284
SP Only,scaffold,Contig1961,unplaced,15556,16617,1056,0,718,0,0,6,ref|NC_041733.1|,44953197,44954271
SP Only,scaffold,Contig1977,unplaced,1,10258,10223,0,7220,0,0,6,ref|NC_041733.1|,44943864,44954141
SP Only,scaffold,Contig2112,unplaced,1,1366,1350,0,954,0,0,6,ref|NC_041733.1|,44941733,44943114
SP Only,scaffold,Contig215,unplaced,26278,29251,2942,0,1791,0,0,6,ref|NC_041733.1|,44954706,44957685
SP,scaffold,Contig217,unplaced,4716641,4717840,1200,0,681,0,0,6,ref|NC_041733.1|,10411230,10412429
SP Only,scaffold,Contig2261,unplaced,20801,22121,1313,0,900,0,0,6,ref|NC_041733.1|,44952953,44954274
SP Only,scaffold,Contig2336,unplaced,25600,26961,1308,0,835,0,0,6,ref|NC_041733.1|,44952906,44954292
SP Only,scaffold,Contig2487,unplaced,21135,22481,1317,0,955,0,0,6,ref|NC_041733.1|,44956350,44957685
SP Only,scaffold,Contig2510,unplaced,1,16064,16060,0,8999,0,0,6,ref|NC_041733.1|,29438489,29454751
SP Only,scaffold,Contig2516,unplaced,20246,21608,1307,0,913,0,0,6,ref|NC_041733.1|,44952906,44954292
SP Only,scaffold,Contig2519,unplaced,23257,24653,1334,0,844,0,0,6,ref|NC_041733.1|,44952906,44954326
SP Only,scaffold,Contig2528,unplaced,9220,10314,1059,0,702,0,0,6,ref|NC_041733.1|,44953202,44954274
SP Only,scaffold,Contig2622,unplaced,58116,59610,1445,0,949,0,0,6,ref|NC_041733.1|,44956231,44957685
Inv,scaffold,Contig2642,unplaced,1,36020,36011,0,31284,0,0,6,ref|NC_041733.1|,40745617,40781662
SP Only,scaffold,Contig2672,unplaced,1,4739,4727,0,2724,0,0,6,ref|NC_041733.1|,9535078,9539813
SP Only,scaffold,Contig2710,unplaced,1,15178,15177,0,11449,0,0,6,ref|NC_041733.1|,44954141,44969352
Inv,scaffold,Contig2765,unplaced,2,18152,18143,0,12669,0,0,6,ref|NC_041733.1|,46541702,46559929
SP Only,scaffold,Contig2778,unplaced,4083,6725,2595,0,1025,0,0,6,ref|NC_041733.1|,41094352,41097010
SP Only,scaffold,Contig2819,unplaced,2,4697,4640,0,2983,0,0,6,ref|NC_041733.1|,44976457,44981211
SP Only,scaffold,Contig2829,unplaced,46978,48427,1380,0,161,0,0,6,ref|NC_041733.1|,44792120,44793560
SP Only,scaffold,Contig2846,unplaced,1,8041,7931,0,5517,0,0,6,ref|NC_041733.1|,44935082,44943114
SP Only,scaffold,Contig2937,unplaced,9027,11078,1995,0,1308,0,0,6,ref|NC_041733.1|,44945759,44947849
SP Only,scaffold,Contig294,unplaced,76120,104981,28818,0,20463,0,0,6,ref|NC_041733.1|,46451665,46480612
SP Only,scaffold,Contig3028,unplaced,17958,19392,1412,0,1142,0,0,6,ref|NC_041733.1|,44956234,44957685
SP Only,scaffold,Contig3041,unplaced,8212,9701,1441,0,916,0,0,6,ref|NC_041733.1|,44956231,44957685
SP Only,scaffold,Contig3109,unplaced,7865,9182,1313,0,919,0,0,6,ref|NC_041733.1|,44952953,44954274
SP Only,scaffold,Contig3317,unplaced,14990,16314,1317,0,931,0,0,6,ref|NC_041733.1|,44952953,44954274
SP Only,scaffold,Contig3366,unplaced,17114,19756,2501,0,1581,0,0,6,ref|NC_041733.1|,44936465,44939096
SP Only,scaffold,Contig3386,unplaced,8585,9907,1315,0,926,0,0,6,ref|NC_041733.1|,44952953,44954274
SP Only,scaffold,Contig3396,unplaced,16601,17922,1315,0,921,0,0,6,ref|NC_041733.1|,44952953,44954273
SP Only,scaffold,Contig3443,unplaced,650,1994,1316,0,977,0,0,6,ref|NC_041733.1|,44956350,44957685
SP Only,scaffold,Contig3455,unplaced,1,7011,6987,0,4209,0,0,6,ref|NC_041733.1|,46622384,46629518
SP Only,scaffold,Contig3465,unplaced,26529,28625,1989,0,1334,0,0,6,ref|NC_041733.1|,44945759,44947849
SP Only,scaffold,Contig3573,unplaced,7121,8829,1655,0,894,0,0,6,ref|NC_041733.1|,40742041,40743733
SP Only,scaffold,Contig3598,unplaced,2124,4145,1992,0,135,0,0,6,ref|NC_041733.1|,44921190,44923224
SP Only,scaffold,Contig3620,unplaced,23514,25008,1445,0,977,0,0,6,ref|NC_041733.1|,44956231,44957685
SP Only,scaffold,Contig369,unplaced,24338,26393,1991,0,1338,0,0,6,ref|NC_041733.1|,44945759,44947849
Inv,scaffold,Contig3693,unplaced,1,67287,67079,0,42190,0,0,6,ref|NC_041733.1|,46595981,46663457
SP Only,scaffold,Contig3782,unplaced,7443,9393,1918,0,1266,0,0,6,ref|NC_041733.1|,44945759,44947779
SP Only,scaffold,Contig4115,unplaced,1,7454,7431,0,5272,0,0,6,ref|NC_041733.1|,44935082,44942561
SP Only,scaffold,Contig4161,unplaced,8403,10494,2030,0,1337,0,0,6,ref|NC_041733.1|,44956692,44958803
SP Only,scaffold,Contig4200,unplaced,32583,33927,1315,0,939,0,0,6,ref|NC_041733.1|,44956350,44957685
SP Only,scaffold,Contig4311,unplaced,14992,16316,1315,0,893,0,0,6,ref|NC_041733.1|,44952953,44954274
SP Only,scaffold,Contig477,unplaced,5408,6658,1203,0,844,0,0,6,ref|NC_041733.1|,44953021,44954292
SP Only,scaffold,Contig530,unplaced,1,3504,3485,0,2522,0,0,6,ref|NC_041733.1|,4359074,4362627
SP Only,scaffold,Contig542,unplaced,8631,9821,1183,0,851,0,0,6,ref|NC_041733.1|,44952953,44954140
SP Only,scaffold,Contig597,unplaced,9552,10874,1316,0,921,0,0,6,ref|NC_041733.1|,44952953,44954274
Inv,scaffold,Contig692,unplaced,8115,9387,1238,0,681,0,0,6,ref|NC_041733.1|,46041786,46043045
SP Only,scaffold,Contig735,unplaced,4,21954,21921,0,10443,0,0,6,ref|NC_041733.1|,43987837,44009870
Inv,scaffold,Contig74,unplaced,1,4198209,4161383,100,2386374,0,0,6,ref|NC_041733.1|,47273550,51484937
SP Only,scaffold,Contig835,unplaced,211,4586,4315,0,2938,0,0,6,ref|NC_041733.1|,44973350,44977744
SP,scaffold,Contig85,unplaced,286910,288117,1208,0,812,0,0,6,ref|NC_041733.1|,1278448,1279670
SP Only,scaffold,Contig931,unplaced,6384,7869,1437,0,924,0,0,6,ref|NC_041733.1|,44956231,44957685
SP Only,scaffold,Contig988,unplaced,2607,4041,1412,0,1142,0,0,6,ref|NC_041733.1|,44956234,44957685
SP Only,scaffold,Contig995,unplaced,1,30478,30253,0,27378,0,0,6,ref|NC_041733.1|,40750910,40781662
SP Only,scaffold,Contig1070,unplaced,1,3081,3079,0,632,0,0,7,ref|NC_041734.1|,20333435,20336518
SP Only,scaffold,Contig1133,unplaced,1,2873,2873,0,1571,0,0,7,ref|NC_041734.1|,20340817,20343711
SP Only,scaffold,Contig1328,unplaced,795,21983,21173,0,15985,0,0,7,ref|NC_041734.1|,80848853,80870051
Inv,scaffold,Contig1393,unplaced,131793,134509,2715,0,483,0,0,7,ref|NC_041734.1|,59975522,59978285
SP Only,scaffold,Contig1434,unplaced,3,2838,2829,0,493,0,0,7,ref|NC_041734.1|,20344009,20346881
SP Only,scaffold,Contig1616,unplaced,1,36830,36813,0,16615,0,0,7,ref|NC_041734.1|,46326563,46363503
SP Only,scaffold,Contig1918,unplaced,1,10403,10354,0,2076,0,0,7,ref|NC_041734.1|,20326890,20337307
SP Only,scaffold,Contig2096,unplaced,1,33852,33827,0,17328,0,0,7,ref|NC_041734.1|,65458927,65492893
SP Only,scaffold,Contig2130,unplaced,1,6366,6297,0,1857,0,0,7,ref|NC_041734.1|,20379874,20386270
Inv,scaffold,Contig224,unplaced,1,621221,620129,100,433780,0,0,7,ref|NC_041734.1|,79958646,80595464
SP Only,scaffold,Contig2438,unplaced,1,3566,3560,0,213,0,0,7,ref|NC_041734.1|,24432318,24435926
SP Only,scaffold,Contig2607,unplaced,1,12130,12065,0,2735,0,0,7,ref|NC_041734.1|,20326890,20339036
SP Only,scaffold,Contig2737,unplaced,1,13989,13802,0,3862,0,0,7,ref|NC_041734.1|,20327456,20341471
SP Only,scaffold,Contig2745,unplaced,1,8247,8229,0,2666,0,0,7,ref|NC_041734.1|,20340097,20348362
Inv,scaffold,Contig2835,unplaced,1,3514,3420,0,2201,0,0,7,ref|NC_041734.1|,80814834,80818294
SP Only,scaffold,Contig3029,unplaced,26,7954,7902,0,2522,0,0,7,ref|NC_041734.1|,20359706,20367629
SP Only,scaffold,Contig3209,unplaced,1,7420,7414,0,4688,0,0,7,ref|NC_041734.1|,2191194,2198630
SP Only,scaffold,Contig3242,unplaced,1,8754,8738,0,6686,0,0,7,ref|NC_041734.1|,59262887,59271671
SP,scaffold,Contig327,unplaced,15421,22776,7349,0,1864,0,0,7,ref|NC_041734.1|,59993996,60001390
SP Only,scaffold,Contig3271,unplaced,2911,4050,1140,0,547,0,0,7,ref|NC_041734.1|,20342440,20343586
SP Only,scaffold,Contig3309,unplaced,1,15780,15772,0,5249,0,0,7,ref|NC_041734.1|,53227457,53243272
SP Only,scaffold,Contig3347,unplaced,1,14977,14961,0,9249,0,0,7,ref|NC_041734.1|,81862718,81877806
SP Only,scaffold,Contig34,unplaced,1,6960,6959,0,3512,0,0,7,ref|NC_041734.1|,63032380,63039349
SP Only,scaffold,Contig3611,unplaced,3,3530,3363,0,1505,0,0,7,ref|NC_041734.1|,20336149,20339653
SP Only,scaffold,Contig3775,unplaced,1,25588,25525,0,12156,0,0,7,ref|NC_041734.1|,24388828,24414623
SP Only,scaffold,Contig3827,unplaced,1,2255,2214,0,291,0,0,7,ref|NC_041734.1|,24460718,24462952
SP Only,scaffold,Contig3889,unplaced,2009,4846,2788,0,595,0,0,7,ref|NC_041734.1|,20355522,20358358
SP Only,scaffold,Contig3917,unplaced,5420,8014,2595,0,572,0,0,7,ref|NC_041734.1|,20383802,20386412
SP Only,scaffold,Contig4207,unplaced,979,4803,3667,0,2936,0,0,7,ref|NC_041734.1|,24428421,24432195
SP Only,scaffold,Contig4460,unplaced,1,2351,2351,0,1021,0,0,7,ref|NC_041734.1|,20359706,20362070
SP Only,scaffold,Contig4480,unplaced,1,9845,9841,0,2693,0,0,7,ref|NC_041734.1|,20348363,20358225
SP Only,scaffold,Contig470,unplaced,165,7572,7369,0,3280,0,0,7,ref|NC_041734.1|,24455501,24462952
SP Only,scaffold,Contig784,unplaced,979,4803,3667,0,2936,0,0,7,ref|NC_041734.1|,24428421,24432195
SP Only,scaffold,Contig893,unplaced,3,10041,10036,0,6383,0,0,7,ref|NC_041734.1|,1085773,1095882
SP Only,scaffold,Contig1197,unplaced,1,9940,9930,0,3704,0,0,8,ref|NC_041735.1|,10926662,10936680
SP Only,scaffold,Contig1365,unplaced,1,1034,1004,0,883,0,0,8,ref|NC_041735.1|,69730834,69731849
SP Only,scaffold,Contig1477,unplaced,1,3987,3987,0,1607,0,0,8,ref|NC_041735.1|,43253954,43257943
SP Only,scaffold,Contig1785,unplaced,1,18078,18066,0,11341,0,0,8,ref|NC_041735.1|,29092411,29110576
SP Only,scaffold,Contig2093,unplaced,1,17346,17324,0,9500,0,0,8,ref|NC_041735.1|,35271348,35288753
SP,scaffold,Contig2161,unplaced,1,10620,10599,0,3938,0,0,8,ref|NC_041735.1|,6597311,6608007
Inv,scaffold,Contig3145,unplaced,1,355718,340370,0,192747,0,0,8,ref|NC_041735.1|,33182897,33523689
SP Only,scaffold,Contig3529,unplaced,1,18991,18987,0,10336,0,0,8,ref|NC_041735.1|,34200200,34219269
SP Only,scaffold,Contig3646,unplaced,1,5816,5804,0,1953,0,0,8,ref|NC_041735.1|,31047100,31052915
SP Only,scaffold,Contig4051,unplaced,1,13036,13033,0,6403,0,0,8,ref|NC_041735.1|,24349116,24362172
Inv,scaffold,Contig4190,unplaced,2,24421,24418,0,13384,0,0,8,ref|NC_041735.1|,31454858,31479285
Inv,scaffold,Contig4512,unplaced,1,7746,7701,0,4577,0,0,8,ref|NC_041735.1|,31526384,31534122
SP Only,scaffold,Contig4548,unplaced,33740,35115,1288,0,108,0,0,8,ref|NC_041735.1|,31617899,31619269
SP,scaffold,Contig4553,unplaced,221352,228645,7281,0,5256,0,0,8,ref|NC_041735.1|,31893775,31901087
SP Only,scaffold,Contig502,unplaced,3,35909,35822,0,20718,0,0,8,ref|NC_041735.1|,66967473,67003426
SP Only,scaffold,Contig628,unplaced,1,33132,33079,0,13926,0,0,8,ref|NC_041735.1|,24054600,24087847
Inv,scaffold,Contig88,unplaced,1,70751,70605,0,51187,0,0,8,ref|NC_041735.1|,68448633,68519449
SP Only,scaffold,Contig1016,unplaced,1,19859,19858,0,17087,0,0,9,ref|NC_041736.1|,28405456,28425424
SP Only,scaffold,Contig1225,unplaced,1,32343,32268,0,27687,0,0,9,ref|NC_041736.1|,28348372,28380799
Inv,scaffold,Contig126,unplaced,2,11491,11481,0,9640,0,0,9,ref|NC_041736.1|,28761120,28772623
SP Only,scaffold,Contig1274,unplaced,1,20633,20539,0,17386,0,0,9,ref|NC_041736.1|,28404776,28425423
SP,scaffold,Contig129,unplaced,42091,43145,1048,0,817,0,0,9,ref|NC_041736.1|,29010361,29011443
SP Only,scaffold,Contig1318,unplaced,1,12609,12565,0,9861,0,0,9,ref|NC_041736.1|,28107015,28119635
SP Only,scaffold,Contig1346,unplaced,7127,20383,13254,0,10853,0,0,9,ref|NC_041736.1|,28411952,28425423
SP Only,scaffold,Contig1421,unplaced,1,3812,3802,0,3352,0,0,9,ref|NC_041736.1|,28433954,28437796
Inv,scaffold,Contig1424,unplaced,1,8775,8775,0,7400,0,0,9,ref|NC_041736.1|,29353386,29362162
SP Only,scaffold,Contig1509,unplaced,1,13648,13642,0,11592,0,0,9,ref|NC_041736.1|,28135501,28149199
SP Only,scaffold,Contig1572,unplaced,374,14081,13691,0,10832,0,0,9,ref|NC_041736.1|,28107343,28121081
SP Only,scaffold,Contig1916,unplaced,1,15775,15645,0,7244,0,0,9,ref|NC_041736.1|,28157677,28173357
SP Only,scaffold,Contig1964,unplaced,1,16281,16264,0,13213,0,0,9,ref|NC_041736.1|,28110757,28127100
Inv,scaffold,Contig2080,unplaced,1,11249,11235,0,9604,0,0,9,ref|NC_041736.1|,28595291,28606526
SP Only,scaffold,Contig2089,unplaced,1,19114,19086,0,12349,0,0,9,ref|NC_041736.1|,28102576,28121685
Inv,scaffold,Contig2141,unplaced,1,176,176,0,157,0,0,9,ref|NC_041736.1|,28108290,28108465
SP,scaffold,Contig23,unplaced,183550,190657,7107,0,4977,0,0,9,ref|NC_041736.1|,29648785,29655894
SP Only,scaffold,Contig2442,unplaced,1,16651,16597,0,10277,0,0,9,ref|NC_041736.1|,28102576,28119218
Inv,scaffold,Contig2611,unplaced,1,3706,3696,0,2900,0,0,9,ref|NC_041736.1|,28483107,28486836
SP,scaffold,Contig266,unplaced,21779,29370,7512,0,2924,0,0,9,ref|NC_041736.1|,29410806,29418426
SP Only,scaffold,Contig2718,unplaced,950,4848,3860,0,3229,0,0,9,ref|NC_041736.1|,28117852,28121729
