# Assembly name:  ASM296699v1
# Organism name:  Ornithorhynchus anatinus (platypus)
# Isolate:  Pmale09
# Sex:  male
# Taxid:          9258
# BioSample:      SAMN08537700
# BioProject:     PRJNA433451
# Submitter:      BGI
# Date:           2018-03-02
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    PTTO01
# Assembly method: Falcon + Dovetail HiRes v. JULY-2016
# Expected final version: no
# Genome coverage: 90.0x
# Sequencing technology: PacBio; Illumina
# GenBank assembly accession: GCA_002966995.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002967025.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Contig2171	unplaced-scaffold	na	na	PTTO01002242.1	<>	na	Primary Assembly	46258	na
Contig2172	unplaced-scaffold	na	na	PTTO01001761.1	<>	na	Primary Assembly	16754	na
Contig2173	unplaced-scaffold	na	na	PTTO01002055.1	<>	na	Primary Assembly	72137	na
Contig2174	unplaced-scaffold	na	na	PTTO01002394.1	<>	na	Primary Assembly	41610	na
Contig2175	unplaced-scaffold	na	na	PTTO01003089.1	<>	na	Primary Assembly	159253	na
Contig2176	unplaced-scaffold	na	na	PTTO01003432.1	<>	na	Primary Assembly	33373	na
Contig2177	unplaced-scaffold	na	na	PTTO01003400.1	<>	na	Primary Assembly	2157	na
Contig2178	unplaced-scaffold	na	na	PTTO01004106.1	<>	na	Primary Assembly	54071	na
Contig2179	unplaced-scaffold	na	na	PTTO01001043.1	<>	na	Primary Assembly	33622	na
Contig218	unplaced-scaffold	na	na	PTTO01001047.1	<>	na	Primary Assembly	146994	na
Contig2180	unplaced-scaffold	na	na	PTTO01003134.1	<>	na	Primary Assembly	9838	na
Contig2181	unplaced-scaffold	na	na	PTTO01003957.1	<>	na	Primary Assembly	30439	na
Contig2182	unplaced-scaffold	na	na	PTTO01004463.1	<>	na	Primary Assembly	121245	na
Contig2183	unplaced-scaffold	na	na	PTTO01003043.1	<>	na	Primary Assembly	60115	na
Contig2184	unplaced-scaffold	na	na	PTTO01003136.1	<>	na	Primary Assembly	13205	na
Contig2185	unplaced-scaffold	na	na	PTTO01003829.1	<>	na	Primary Assembly	43677	na
Contig2186	unplaced-scaffold	na	na	PTTO01004525.1	<>	na	Primary Assembly	79117	na
Contig2187	unplaced-scaffold	na	na	PTTO01001063.1	<>	na	Primary Assembly	31022	na
Contig2188	unplaced-scaffold	na	na	PTTO01001122.1	<>	na	Primary Assembly	36706	na
Contig2189	unplaced-scaffold	na	na	PTTO01001863.1	<>	na	Primary Assembly	15583	na
Contig219	unplaced-scaffold	na	na	PTTO01000408.1	<>	na	Primary Assembly	1900693	na
Contig2190	unplaced-scaffold	na	na	PTTO01002743.1	<>	na	Primary Assembly	10768	na
Contig2191	unplaced-scaffold	na	na	PTTO01002482.1	<>	na	Primary Assembly	28569	na
Contig2192	unplaced-scaffold	na	na	PTTO01001781.1	<>	na	Primary Assembly	15230	na
Contig2193	unplaced-scaffold	na	na	PTTO01000695.1	<>	na	Primary Assembly	53095	na
Contig2194	unplaced-scaffold	na	na	PTTO01000199.1	<>	na	Primary Assembly	27075	na
Contig2195	unplaced-scaffold	na	na	PTTO01004314.1	<>	na	Primary Assembly	31757	na
Contig2196	unplaced-scaffold	na	na	PTTO01003802.1	<>	na	Primary Assembly	22587	na
Contig2197	unplaced-scaffold	na	na	PTTO01000736.1	<>	na	Primary Assembly	6332	na
Contig2198	unplaced-scaffold	na	na	PTTO01000234.1	<>	na	Primary Assembly	42437	na
Contig2199	unplaced-scaffold	na	na	PTTO01004284.1	<>	na	Primary Assembly	99376	na
Contig22	unplaced-scaffold	na	na	PTTO01002545.1	<>	na	Primary Assembly	33088449	na
Contig220	unplaced-scaffold	na	na	PTTO01004148.1	<>	na	Primary Assembly	2609273	na
Contig2200	unplaced-scaffold	na	na	PTTO01002157.1	<>	na	Primary Assembly	16620	na
Contig2201	unplaced-scaffold	na	na	PTTO01000383.1	<>	na	Primary Assembly	12392	na
Contig2202	unplaced-scaffold	na	na	PTTO01003314.1	<>	na	Primary Assembly	117693	na
Contig2203	unplaced-scaffold	na	na	PTTO01002804.1	<>	na	Primary Assembly	11278	na
Contig2204	unplaced-scaffold	na	na	PTTO01004482.1	<>	na	Primary Assembly	14883	na
Contig2205	unplaced-scaffold	na	na	PTTO01003783.1	<>	na	Primary Assembly	45679	na
Contig2206	unplaced-scaffold	na	na	PTTO01000817.1	<>	na	Primary Assembly	28698	na
Contig2207	unplaced-scaffold	na	na	PTTO01000204.1	<>	na	Primary Assembly	35378	na
Contig2208	unplaced-scaffold	na	na	PTTO01001796.1	<>	na	Primary Assembly	39248	na
Contig2209	unplaced-scaffold	na	na	PTTO01001157.1	<>	na	Primary Assembly	19880	na
Contig221	unplaced-scaffold	na	na	PTTO01003294.1	<>	na	Primary Assembly	259723	na
Contig2210	unplaced-scaffold	na	na	PTTO01004094.1	<>	na	Primary Assembly	100519	na
Contig2211	unplaced-scaffold	na	na	PTTO01003850.1	<>	na	Primary Assembly	15137	na
Contig2212	unplaced-scaffold	na	na	PTTO01000278.1	<>	na	Primary Assembly	46407	na
Contig2213	unplaced-scaffold	na	na	PTTO01001806.1	<>	na	Primary Assembly	15130	na
Contig2214	unplaced-scaffold	na	na	PTTO01001149.1	<>	na	Primary Assembly	20778	na
Contig2215	unplaced-scaffold	na	na	PTTO01003102.1	<>	na	Primary Assembly	57752	na
Contig2216	unplaced-scaffold	na	na	PTTO01004251.1	<>	na	Primary Assembly	65079	na
Contig2217	unplaced-scaffold	na	na	PTTO01003583.1	<>	na	Primary Assembly	9497	na
Contig2218	unplaced-scaffold	na	na	PTTO01003793.1	<>	na	Primary Assembly	8818	na
Contig2219	unplaced-scaffold	na	na	PTTO01001070.1	<>	na	Primary Assembly	57504	na
Contig222	unplaced-scaffold	na	na	PTTO01001554.1	<>	na	Primary Assembly	57008	na
Contig2220	unplaced-scaffold	na	na	PTTO01003895.1	<>	na	Primary Assembly	10307	na
Contig2221	unplaced-scaffold	na	na	PTTO01004428.1	<>	na	Primary Assembly	12463	na
Contig2222	unplaced-scaffold	na	na	PTTO01001083.1	<>	na	Primary Assembly	32403	na
Contig2223	unplaced-scaffold	na	na	PTTO01000576.1	<>	na	Primary Assembly	38874	na
Contig2224	unplaced-scaffold	na	na	PTTO01001198.1	<>	na	Primary Assembly	21842	na
Contig2225	unplaced-scaffold	na	na	PTTO01001821.1	<>	na	Primary Assembly	56210	na
Contig2226	unplaced-scaffold	na	na	PTTO01002426.1	<>	na	Primary Assembly	38453	na
Contig2227	unplaced-scaffold	na	na	PTTO01002938.1	<>	na	Primary Assembly	54067	na
Contig2228	unplaced-scaffold	na	na	PTTO01003396.1	<>	na	Primary Assembly	36190	na
Contig2229	unplaced-scaffold	na	na	PTTO01000474.1	<>	na	Primary Assembly	38107	na
Contig223	unplaced-scaffold	na	na	PTTO01001569.1	<>	na	Primary Assembly	5731	na
Contig2230	unplaced-scaffold	na	na	PTTO01002044.1	<>	na	Primary Assembly	20890	na
Contig2231	unplaced-scaffold	na	na	PTTO01001064.1	<>	na	Primary Assembly	52833	na
Contig2232	unplaced-scaffold	na	na	PTTO01003727.1	<>	na	Primary Assembly	70633	na
Contig2233	unplaced-scaffold	na	na	PTTO01004007.1	<>	na	Primary Assembly	121999	na
Contig2234	unplaced-scaffold	na	na	PTTO01002686.1	<>	na	Primary Assembly	14315	na
Contig2235	unplaced-scaffold	na	na	PTTO01001339.1	<>	na	Primary Assembly	22126	na
Contig2236	unplaced-scaffold	na	na	PTTO01001782.1	<>	na	Primary Assembly	16422	na
Contig2237	unplaced-scaffold	na	na	PTTO01002032.1	<>	na	Primary Assembly	25855	na
Contig2238	unplaced-scaffold	na	na	PTTO01000696.1	<>	na	Primary Assembly	36953	na
Contig2239	unplaced-scaffold	na	na	PTTO01003691.1	<>	na	Primary Assembly	69278	na
Contig224	unplaced-scaffold	na	na	PTTO01001974.1	<>	na	Primary Assembly	621295	na
Contig2240	unplaced-scaffold	na	na	PTTO01000672.1	<>	na	Primary Assembly	22748	na
Contig2241	unplaced-scaffold	na	na	PTTO01003953.1	<>	na	Primary Assembly	14233	na
Contig2242	unplaced-scaffold	na	na	PTTO01004514.1	<>	na	Primary Assembly	23262	na
Contig2243	unplaced-scaffold	na	na	PTTO01002550.1	<>	na	Primary Assembly	19821	na
Contig2244	unplaced-scaffold	na	na	PTTO01003230.1	<>	na	Primary Assembly	25554	na
Contig2245	unplaced-scaffold	na	na	PTTO01001899.1	<>	na	Primary Assembly	1079701	na
Contig2246	unplaced-scaffold	na	na	PTTO01000142.1	<>	na	Primary Assembly	11995	na
Contig2247	unplaced-scaffold	na	na	PTTO01001026.1	<>	na	Primary Assembly	40897	na
Contig2248	unplaced-scaffold	na	na	PTTO01003516.1	<>	na	Primary Assembly	26247	na
Contig2249	unplaced-scaffold	na	na	PTTO01004378.1	<>	na	Primary Assembly	21857	na
Contig225	unplaced-scaffold	na	na	PTTO01000394.1	<>	na	Primary Assembly	863466	na
Contig2250	unplaced-scaffold	na	na	PTTO01004523.1	<>	na	Primary Assembly	36211	na
Contig2251	unplaced-scaffold	na	na	PTTO01002964.1	<>	na	Primary Assembly	6435	na
Contig2252	unplaced-scaffold	na	na	PTTO01002454.1	<>	na	Primary Assembly	42048	na
Contig2253	unplaced-scaffold	na	na	PTTO01002001.1	<>	na	Primary Assembly	17325	na
Contig2254	unplaced-scaffold	na	na	PTTO01001498.1	<>	na	Primary Assembly	42424	na
Contig2255	unplaced-scaffold	na	na	PTTO01000080.1	<>	na	Primary Assembly	15145	na
Contig2256	unplaced-scaffold	na	na	PTTO01003960.1	<>	na	Primary Assembly	19606	na
Contig2257	unplaced-scaffold	na	na	PTTO01003499.1	<>	na	Primary Assembly	24228	na
Contig2258	unplaced-scaffold	na	na	PTTO01002993.1	<>	na	Primary Assembly	45517	na
Contig2259	unplaced-scaffold	na	na	PTTO01002509.1	<>	na	Primary Assembly	50616	na
Contig226	unplaced-scaffold	na	na	PTTO01000713.1	<>	na	Primary Assembly	70000	na
Contig2260	unplaced-scaffold	na	na	PTTO01000993.1	<>	na	Primary Assembly	40705	na
Contig2261	unplaced-scaffold	na	na	PTTO01000473.1	<>	na	Primary Assembly	31631	na
Contig2262	unplaced-scaffold	na	na	PTTO01003972.1	<>	na	Primary Assembly	36098	na
Contig2263	unplaced-scaffold	na	na	PTTO01003628.1	<>	na	Primary Assembly	21836	na
Contig2264	unplaced-scaffold	na	na	PTTO01002996.1	<>	na	Primary Assembly	34310	na
Contig2265	unplaced-scaffold	na	na	PTTO01003235.1	<>	na	Primary Assembly	32845	na
Contig2266	unplaced-scaffold	na	na	PTTO01002599.1	<>	na	Primary Assembly	25189	na
Contig2267	unplaced-scaffold	na	na	PTTO01002212.1	<>	na	Primary Assembly	35132	na
Contig2268	unplaced-scaffold	na	na	PTTO01001177.1	<>	na	Primary Assembly	39053	na
Contig2269	unplaced-scaffold	na	na	PTTO01000662.1	<>	na	Primary Assembly	50083	na
Contig227	unplaced-scaffold	na	na	PTTO01004032.1	<>	na	Primary Assembly	251142	na
Contig2270	unplaced-scaffold	na	na	PTTO01004133.1	<>	na	Primary Assembly	223665	na
Contig2271	unplaced-scaffold	na	na	PTTO01003475.1	<>	na	Primary Assembly	23753	na
Contig2272	unplaced-scaffold	na	na	PTTO01000503.1	<>	na	Primary Assembly	121462	na
Contig2273	unplaced-scaffold	na	na	PTTO01004321.1	<>	na	Primary Assembly	10467	na
Contig2274	unplaced-scaffold	na	na	PTTO01001201.1	<>	na	Primary Assembly	75507	na
Contig2275	unplaced-scaffold	na	na	PTTO01000976.1	<>	na	Primary Assembly	44788	na
Contig2276	unplaced-scaffold	na	na	PTTO01000884.1	<>	na	Primary Assembly	146193	na
Contig2277	unplaced-scaffold	na	na	PTTO01000679.1	<>	na	Primary Assembly	112890	na
Contig2278	unplaced-scaffold	na	na	PTTO01002163.1	<>	na	Primary Assembly	46411	na
Contig2279	unplaced-scaffold	na	na	PTTO01001604.1	<>	na	Primary Assembly	92215	na
Contig228	unplaced-scaffold	na	na	PTTO01002340.1	<>	na	Primary Assembly	150440	na
Contig2280	unplaced-scaffold	na	na	PTTO01002817.1	<>	na	Primary Assembly	110861	na
Contig2281	unplaced-scaffold	na	na	PTTO01002153.1	<>	na	Primary Assembly	16952	na
Contig2282	unplaced-scaffold	na	na	PTTO01003632.1	<>	na	Primary Assembly	37076	na
Contig2283	unplaced-scaffold	na	na	PTTO01004123.1	<>	na	Primary Assembly	44004	na
Contig2284	unplaced-scaffold	na	na	PTTO01000370.1	<>	na	Primary Assembly	2548	na
Contig2285	unplaced-scaffold	na	na	PTTO01000832.1	<>	na	Primary Assembly	34873	na
Contig2286	unplaced-scaffold	na	na	PTTO01002151.1	<>	na	Primary Assembly	5755	na
Contig2287	unplaced-scaffold	na	na	PTTO01000355.1	<>	na	Primary Assembly	41521	na
Contig2288	unplaced-scaffold	na	na	PTTO01002237.1	<>	na	Primary Assembly	15063	na
Contig2289	unplaced-scaffold	na	na	PTTO01001601.1	<>	na	Primary Assembly	25674	na
Contig229	unplaced-scaffold	na	na	PTTO01001558.1	<>	na	Primary Assembly	40716	na
Contig2290	unplaced-scaffold	na	na	PTTO01002029.1	<>	na	Primary Assembly	20017	na
Contig2291	unplaced-scaffold	na	na	PTTO01000422.1	<>	na	Primary Assembly	77090	na
Contig2292	unplaced-scaffold	na	na	PTTO01002235.1	<>	na	Primary Assembly	60497	na
Contig2293	unplaced-scaffold	na	na	PTTO01002864.1	<>	na	Primary Assembly	56486	na
Contig2294	unplaced-scaffold	na	na	PTTO01003565.1	<>	na	Primary Assembly	72345	na
Contig2295	unplaced-scaffold	na	na	PTTO01004208.1	<>	na	Primary Assembly	45355	na
Contig2296	unplaced-scaffold	na	na	PTTO01000746.1	<>	na	Primary Assembly	31252	na
Contig2297	unplaced-scaffold	na	na	PTTO01000842.1	<>	na	Primary Assembly	35323	na
Contig2298	unplaced-scaffold	na	na	PTTO01001471.1	<>	na	Primary Assembly	50822	na
Contig2299	unplaced-scaffold	na	na	PTTO01002164.1	<>	na	Primary Assembly	134337	na
Contig23	unplaced-scaffold	na	na	PTTO01001349.1	<>	na	Primary Assembly	32423409	na
Contig230	unplaced-scaffold	na	na	PTTO01003454.1	<>	na	Primary Assembly	4921120	na
Contig2300	unplaced-scaffold	na	na	PTTO01000750.1	<>	na	Primary Assembly	52770	na
Contig2301	unplaced-scaffold	na	na	PTTO01002581.1	<>	na	Primary Assembly	9498	na
Contig2302	unplaced-scaffold	na	na	PTTO01003122.1	<>	na	Primary Assembly	95548	na
Contig2303	unplaced-scaffold	na	na	PTTO01002885.1	<>	na	Primary Assembly	22176	na
Contig2304	unplaced-scaffold	na	na	PTTO01003823.1	<>	na	Primary Assembly	13286	na
Contig2305	unplaced-scaffold	na	na	PTTO01000414.1	<>	na	Primary Assembly	32187	na
Contig2306	unplaced-scaffold	na	na	PTTO01001060.1	<>	na	Primary Assembly	16283	na
Contig2307	unplaced-scaffold	na	na	PTTO01001472.1	<>	na	Primary Assembly	43100	na
Contig2308	unplaced-scaffold	na	na	PTTO01001255.1	<>	na	Primary Assembly	17011	na
Contig2309	unplaced-scaffold	na	na	PTTO01000405.1	<>	na	Primary Assembly	37302	na
Contig231	unplaced-scaffold	na	na	PTTO01004002.1	<>	na	Primary Assembly	35363	na
Contig2310	unplaced-scaffold	na	na	PTTO01002345.1	<>	na	Primary Assembly	20242	na
Contig2311	unplaced-scaffold	na	na	PTTO01003519.1	<>	na	Primary Assembly	28958	na
Contig2312	unplaced-scaffold	na	na	PTTO01002997.1	<>	na	Primary Assembly	21681	na
Contig2313	unplaced-scaffold	na	na	PTTO01000246.1	<>	na	Primary Assembly	20448	na
Contig2314	unplaced-scaffold	na	na	PTTO01000283.1	<>	na	Primary Assembly	15967	na
Contig2315	unplaced-scaffold	na	na	PTTO01003903.1	<>	na	Primary Assembly	19264	na
Contig2316	unplaced-scaffold	na	na	PTTO01000069.1	<>	na	Primary Assembly	7420	na
Contig2317	unplaced-scaffold	na	na	PTTO01000543.1	<>	na	Primary Assembly	5585	na
Contig2318	unplaced-scaffold	na	na	PTTO01001330.1	<>	na	Primary Assembly	33891	na
Contig2319	unplaced-scaffold	na	na	PTTO01001295.1	<>	na	Primary Assembly	31328	na
Contig232	unplaced-scaffold	na	na	PTTO01002445.1	<>	na	Primary Assembly	9669	na
Contig2320	unplaced-scaffold	na	na	PTTO01000887.1	<>	na	Primary Assembly	81621	na
Contig2321	unplaced-scaffold	na	na	PTTO01004294.1	<>	na	Primary Assembly	4126	na
Contig2322	unplaced-scaffold	na	na	PTTO01003927.1	<>	na	Primary Assembly	47016	na
Contig2323	unplaced-scaffold	na	na	PTTO01003279.1	<>	na	Primary Assembly	4463	na
Contig2324	unplaced-scaffold	na	na	PTTO01002905.1	<>	na	Primary Assembly	14997	na
Contig2325	unplaced-scaffold	na	na	PTTO01004198.1	<>	na	Primary Assembly	25490	na
Contig2326	unplaced-scaffold	na	na	PTTO01003787.1	<>	na	Primary Assembly	31925	na
Contig2327	unplaced-scaffold	na	na	PTTO01003184.1	<>	na	Primary Assembly	91724	na
Contig2328	unplaced-scaffold	na	na	PTTO01002795.1	<>	na	Primary Assembly	8287	na
Contig2329	unplaced-scaffold	na	na	PTTO01001544.1	<>	na	Primary Assembly	381619	na
Contig233	unplaced-scaffold	na	na	PTTO01002683.1	<>	na	Primary Assembly	184753	na
Contig2330	unplaced-scaffold	na	na	PTTO01004165.1	<>	na	Primary Assembly	38260	na
Contig2331	unplaced-scaffold	na	na	PTTO01000212.1	<>	na	Primary Assembly	30111	na
Contig2332	unplaced-scaffold	na	na	PTTO01000952.1	<>	na	Primary Assembly	41271	na
Contig2333	unplaced-scaffold	na	na	PTTO01003485.1	<>	na	Primary Assembly	70703	na
Contig2334	unplaced-scaffold	na	na	PTTO01004245.1	<>	na	Primary Assembly	52609	na
Contig2335	unplaced-scaffold	na	na	PTTO01003327.1	<>	na	Primary Assembly	33562	na
Contig2336	unplaced-scaffold	na	na	PTTO01002833.1	<>	na	Primary Assembly	44058	na
Contig2337	unplaced-scaffold	na	na	PTTO01002096.1	<>	na	Primary Assembly	16946	na
Contig2338	unplaced-scaffold	na	na	PTTO01000439.1	<>	na	Primary Assembly	37519	na
Contig2339	unplaced-scaffold	na	na	PTTO01000731.1	<>	na	Primary Assembly	57947	na
Contig234	unplaced-scaffold	na	na	PTTO01002910.1	<>	na	Primary Assembly	77813	na
Contig2340	unplaced-scaffold	na	na	PTTO01002417.1	<>	na	Primary Assembly	4781	na
Contig2341	unplaced-scaffold	na	na	PTTO01003974.1	<>	na	Primary Assembly	10851	na
Contig2342	unplaced-scaffold	na	na	PTTO01003919.1	<>	na	Primary Assembly	51127	na
Contig2343	unplaced-scaffold	na	na	PTTO01003094.1	<>	na	Primary Assembly	101085	na
Contig2344	unplaced-scaffold	na	na	PTTO01002404.1	<>	na	Primary Assembly	31517	na
Contig2345	unplaced-scaffold	na	na	PTTO01001963.1	<>	na	Primary Assembly	10845	na
Contig2346	unplaced-scaffold	na	na	PTTO01000807.1	<>	na	Primary Assembly	28730	na
Contig2347	unplaced-scaffold	na	na	PTTO01001094.1	<>	na	Primary Assembly	92971	na
Contig2348	unplaced-scaffold	na	na	PTTO01000445.1	<>	na	Primary Assembly	28985	na
Contig2349	unplaced-scaffold	na	na	PTTO01003461.1	<>	na	Primary Assembly	20495	na
Contig235	unplaced-scaffold	na	na	PTTO01001425.1	<>	na	Primary Assembly	2234854	na
Contig2350	unplaced-scaffold	na	na	PTTO01003928.1	<>	na	Primary Assembly	27801	na
Contig2351	unplaced-scaffold	na	na	PTTO01003115.1	<>	na	Primary Assembly	44644	na
Contig2352	unplaced-scaffold	na	na	PTTO01002975.1	<>	na	Primary Assembly	31323	na
Contig2353	unplaced-scaffold	na	na	PTTO01002464.1	<>	na	Primary Assembly	32048	na
Contig2354	unplaced-scaffold	na	na	PTTO01001684.1	<>	na	Primary Assembly	21699	na
Contig2355	unplaced-scaffold	na	na	PTTO01001583.1	<>	na	Primary Assembly	65790	na
Contig2356	unplaced-scaffold	na	na	PTTO01001009.1	<>	na	Primary Assembly	16148	na
Contig2357	unplaced-scaffold	na	na	PTTO01000485.1	<>	na	Primary Assembly	24115	na
Contig2358	unplaced-scaffold	na	na	PTTO01004379.1	<>	na	Primary Assembly	29523	na
Contig2359	unplaced-scaffold	na	na	PTTO01004186.1	<>	na	Primary Assembly	27987	na
Contig236	unplaced-scaffold	na	na	PTTO01002128.1	<>	na	Primary Assembly	2671088	na
Contig2360	unplaced-scaffold	na	na	PTTO01002306.1	<>	na	Primary Assembly	32968	na
Contig2361	unplaced-scaffold	na	na	PTTO01002937.1	<>	na	Primary Assembly	11897	na
Contig2362	unplaced-scaffold	na	na	PTTO01003462.1	<>	na	Primary Assembly	17749	na
Contig2363	unplaced-scaffold	na	na	PTTO01004115.1	<>	na	Primary Assembly	15837	na
Contig2364	unplaced-scaffold	na	na	PTTO01000367.1	<>	na	Primary Assembly	7828	na
Contig2365	unplaced-scaffold	na	na	PTTO01000830.1	<>	na	Primary Assembly	54043	na
Contig2366	unplaced-scaffold	na	na	PTTO01001622.1	<>	na	Primary Assembly	15604	na
Contig2367	unplaced-scaffold	na	na	PTTO01002114.1	<>	na	Primary Assembly	20642	na
Contig2368	unplaced-scaffold	na	na	PTTO01002936.1	<>	na	Primary Assembly	25167	na
Contig2369	unplaced-scaffold	na	na	PTTO01003550.1	<>	na	Primary Assembly	33079	na
Contig237	unplaced-scaffold	na	na	PTTO01003651.1	<>	na	Primary Assembly	20660	na
Contig2370	unplaced-scaffold	na	na	PTTO01001486.1	<>	na	Primary Assembly	35452	na
Contig2371	unplaced-scaffold	na	na	PTTO01003495.1	<>	na	Primary Assembly	52928	na
Contig2372	unplaced-scaffold	na	na	PTTO01004010.1	<>	na	Primary Assembly	43771	na
Contig2373	unplaced-scaffold	na	na	PTTO01002480.1	<>	na	Primary Assembly	19742	na
Contig2374	unplaced-scaffold	na	na	PTTO01002922.1	<>	na	Primary Assembly	14805	na
Contig2375	unplaced-scaffold	na	na	PTTO01001383.1	<>	na	Primary Assembly	30583	na
Contig2376	unplaced-scaffold	na	na	PTTO01002447.1	<>	na	Primary Assembly	16323	na
Contig2377	unplaced-scaffold	na	na	PTTO01000457.1	<>	na	Primary Assembly	45387	na
Contig2378	unplaced-scaffold	na	na	PTTO01000940.1	<>	na	Primary Assembly	58336	na
Contig2379	unplaced-scaffold	na	na	PTTO01003472.1	<>	na	Primary Assembly	4737	na
Contig238	unplaced-scaffold	na	na	PTTO01004176.1	<>	na	Primary Assembly	78477	na
Contig2380	unplaced-scaffold	na	na	PTTO01003633.1	<>	na	Primary Assembly	16999	na
Contig2381	unplaced-scaffold	na	na	PTTO01001859.1	<>	na	Primary Assembly	25165	na
Contig2382	unplaced-scaffold	na	na	PTTO01001356.1	<>	na	Primary Assembly	32023	na
Contig2383	unplaced-scaffold	na	na	PTTO01002734.1	<>	na	Primary Assembly	80764	na
Contig2384	unplaced-scaffold	na	na	PTTO01001967.1	<>	na	Primary Assembly	45519	na
Contig2385	unplaced-scaffold	na	na	PTTO01003487.1	<>	na	Primary Assembly	53314	na
Contig2386	unplaced-scaffold	na	na	PTTO01003305.1	<>	na	Primary Assembly	98696	na
Contig2387	unplaced-scaffold	na	na	PTTO01000210.1	<>	na	Primary Assembly	85469	na
Contig2388	unplaced-scaffold	na	na	PTTO01003973.1	<>	na	Primary Assembly	10865	na
Contig2389	unplaced-scaffold	na	na	PTTO01002444.1	<>	na	Primary Assembly	55520	na
Contig239	unplaced-scaffold	na	na	PTTO01002349.1	<>	na	Primary Assembly	235380	na
Contig2390	unplaced-scaffold	na	na	PTTO01001623.1	<>	na	Primary Assembly	77467	na
Contig2391	unplaced-scaffold	na	na	PTTO01002735.1	<>	na	Primary Assembly	33466	na
Contig2392	unplaced-scaffold	na	na	PTTO01003255.1	<>	na	Primary Assembly	36547	na
Contig2393	unplaced-scaffold	na	na	PTTO01003746.1	<>	na	Primary Assembly	29257	na
Contig2394	unplaced-scaffold	na	na	PTTO01003669.1	<>	na	Primary Assembly	1772	na
Contig2395	unplaced-scaffold	na	na	PTTO01000570.1	<>	na	Primary Assembly	36987	na
Contig2396	unplaced-scaffold	na	na	PTTO01000894.1	<>	na	Primary Assembly	38367	na
Contig2397	unplaced-scaffold	na	na	PTTO01002529.1	<>	na	Primary Assembly	105490	na
Contig2398	unplaced-scaffold	na	na	PTTO01001934.1	<>	na	Primary Assembly	37003	na
Contig2399	unplaced-scaffold	na	na	PTTO01003079.1	<>	na	Primary Assembly	110464	na
Contig24	unplaced-scaffold	na	na	PTTO01000115.1	<>	na	Primary Assembly	2133401	na
Contig240	unplaced-scaffold	na	na	PTTO01001230.1	<>	na	Primary Assembly	413172	na
Contig2400	unplaced-scaffold	na	na	PTTO01001920.1	<>	na	Primary Assembly	25740	na
Contig2401	unplaced-scaffold	na	na	PTTO01001158.1	<>	na	Primary Assembly	31974	na
Contig2402	unplaced-scaffold	na	na	PTTO01002924.1	<>	na	Primary Assembly	20558	na
Contig2403	unplaced-scaffold	na	na	PTTO01002706.1	<>	na	Primary Assembly	32024	na
Contig2404	unplaced-scaffold	na	na	PTTO01003303.1	<>	na	Primary Assembly	15493	na
Contig2405	unplaced-scaffold	na	na	PTTO01002672.1	<>	na	Primary Assembly	27966	na
Contig2406	unplaced-scaffold	na	na	PTTO01003600.1	<>	na	Primary Assembly	68177	na
Contig2407	unplaced-scaffold	na	na	PTTO01003803.1	<>	na	Primary Assembly	28642	na
Contig2408	unplaced-scaffold	na	na	PTTO01000005.1	<>	na	Primary Assembly	95253	na
Contig2409	unplaced-scaffold	na	na	PTTO01001924.1	<>	na	Primary Assembly	11924	na
Contig241	unplaced-scaffold	na	na	PTTO01001706.1	<>	na	Primary Assembly	66926	na
Contig2410	unplaced-scaffold	na	na	PTTO01003365.1	<>	na	Primary Assembly	101218	na
Contig2411	unplaced-scaffold	na	na	PTTO01002854.1	<>	na	Primary Assembly	29443	na
Contig2412	unplaced-scaffold	na	na	PTTO01004302.1	<>	na	Primary Assembly	7724	na
Contig2413	unplaced-scaffold	na	na	PTTO01003841.1	<>	na	Primary Assembly	15016	na
Contig2414	unplaced-scaffold	na	na	PTTO01004334.1	<>	na	Primary Assembly	112038	na
Contig2415	unplaced-scaffold	na	na	PTTO01003817.1	<>	na	Primary Assembly	81686	na
Contig2416	unplaced-scaffold	na	na	PTTO01000890.1	<>	na	Primary Assembly	8138	na
Contig2417	unplaced-scaffold	na	na	PTTO01000250.1	<>	na	Primary Assembly	37223	na
Contig2418	unplaced-scaffold	na	na	PTTO01001533.1	<>	na	Primary Assembly	48378	na
Contig2419	unplaced-scaffold	na	na	PTTO01003191.1	<>	na	Primary Assembly	24137	na
Contig242	unplaced-scaffold	na	na	PTTO01000222.1	<>	na	Primary Assembly	43344	na
Contig2420	unplaced-scaffold	na	na	PTTO01003577.1	<>	na	Primary Assembly	41452	na
Contig2421	unplaced-scaffold	na	na	PTTO01004233.1	<>	na	Primary Assembly	22969	na
Contig2422	unplaced-scaffold	na	na	PTTO01004547.1	<>	na	Primary Assembly	32924	na
Contig2423	unplaced-scaffold	na	na	PTTO01000316.1	<>	na	Primary Assembly	11268	na
